City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Narsaq,GL,2022-06-17 01:43:48,60.9167,-46.05,44.82,74,100,2.08,overcast clouds
205,Havoysund,NO,2022-06-17 01:48:27,70.9963,24.6622,41.23,85,100,10.92,overcast clouds
206,Arraial Do Cabo,BR,2022-06-17 01:42:20,-22.9661,-42.0278,69.22,77,0,17.76,clear sky
207,Comodoro Rivadavia,AR,2022-06-17 01:45:03,-45.8667,-67.5,40.86,65,40,26.46,scattered clouds
208,Ibra,OM,2022-06-17 01:48:28,22.6906,58.5334,84.34,61,74,1.83,broken clouds
209,Contai,IN,2022-06-17 01:48:29,21.7786,87.7536,85.59,76,100,19.15,overcast clouds
210,Rio Gallegos,AR,2022-06-17 01:42:42,-51.6226,-69.2181,30.25,74,0,14.97,clear sky
211,Ilulissat,GL,2022-06-17 01:38:47,69.2167,-51.1,50.02,43,100,14.97,overcast clouds
212,Lagoa,PT,2022-06-17 01:39:21,39.05,-27.9833,65.37,89,0,7.92,clear sky
213,Mazatlan,MX,2022-06-17 01:46:06,23.2167,-106.4167,82.9,82,71,3.0,broken clouds
214,Mangaluru,IN,2022-06-17 01:45:07,12.8667,74.8833,76.06,88,40,0.0,scattered clouds
215,Mutis,CO,2022-06-17 01:48:30,6.2262,-77.4044,77.49,87,100,3.24,light rain
216,Boone,US,2022-06-17 01:48:30,39.0334,-92.3335,89.85,87,3,5.46,clear sky
217,Westport,US,2022-06-17 01:41:37,41.1415,-73.3579,69.62,87,100,9.22,overcast clouds
218,Rafaela,AR,2022-06-17 01:48:31,-31.2503,-61.4867,51.98,54,70,5.99,broken clouds
219,Tukrah,LY,2022-06-17 01:43:29,32.5341,20.5791,72.19,82,0,6.8,clear sky
220,Verkh-Usugli,RU,2022-06-17 01:48:32,52.7,115.1667,76.08,33,74,1.77,broken clouds
221,Kwinana,AU,2022-06-17 01:48:32,-32.25,115.7667,67.23,87,12,8.99,light rain
222,Mount Darwin,ZW,2022-06-17 01:48:32,-16.7725,31.5838,52.29,92,0,2.55,clear sky
223,Ust-Tsilma,RU,2022-06-17 01:48:33,65.441,52.1498,60.51,77,100,5.28,overcast clouds
224,Tombouctou,ML,2022-06-17 01:44:37,20.0,-3.0,84.83,46,97,7.34,overcast clouds
225,Awjilah,LY,2022-06-17 01:43:13,29.1081,21.2869,77.54,40,1,13.15,clear sky
226,Hobyo,SO,2022-06-17 01:44:50,5.3505,48.5268,78.1,84,100,20.96,overcast clouds
227,Puerto Escondido,MX,2022-06-17 01:43:23,15.85,-97.0667,79.63,65,100,6.91,overcast clouds
228,Hurghada,EG,2022-06-17 01:47:41,27.2574,33.8129,82.44,44,0,20.71,clear sky
229,Touros,BR,2022-06-17 01:43:30,-5.1989,-35.4608,72.93,82,32,9.46,scattered clouds
230,Quatre Cocos,MU,2022-06-17 01:45:42,-20.2078,57.7625,70.09,73,1,7.16,clear sky
231,Cognac,FR,2022-06-17 01:48:34,45.5,-0.25,73.0,53,0,2.3,clear sky
232,Biratnagar,NP,2022-06-17 01:48:35,26.4831,87.2834,79.88,85,80,9.31,broken clouds
233,Camacari,BR,2022-06-17 01:48:35,-12.6975,-38.3242,78.57,79,62,5.26,broken clouds
234,Garowe,SO,2022-06-17 01:48:35,8.4054,48.4845,75.87,63,100,20.11,overcast clouds
235,Paamiut,GL,2022-06-17 01:48:36,61.994,-49.6678,38.57,73,100,17.13,overcast clouds
236,Iqaluit,CA,2022-06-17 01:38:54,63.7506,-68.5145,37.13,64,75,19.57,broken clouds
237,Springbok,ZA,2022-06-17 01:48:36,-29.6643,17.8865,49.98,34,46,5.64,scattered clouds
238,Kahului,US,2022-06-17 01:40:06,20.8947,-156.47,84.22,64,40,20.71,scattered clouds
239,Defiance,US,2022-06-17 01:48:37,41.3334,-84.45,89.58,31,0,9.22,clear sky
240,Sarakhs,IR,2022-06-17 01:48:38,36.5449,61.1577,80.74,39,3,4.61,clear sky
241,Itarema,BR,2022-06-17 01:48:38,-2.9248,-39.9167,75.36,84,16,9.86,few clouds
242,Jatiroto,ID,2022-06-17 01:48:38,-7.8833,111.1167,80.96,76,35,1.43,scattered clouds
243,Saint George,US,2022-06-17 01:43:50,37.1041,-113.5841,104.59,5,0,20.71,clear sky
244,Poum,NC,2022-06-17 01:42:50,-20.2333,164.0167,79.23,80,100,14.97,moderate rain
245,Salinopolis,BR,2022-06-17 01:42:36,-0.6136,-47.3561,77.76,82,93,7.63,overcast clouds
